| Threshold | Scale factor | Min. neighbors | Precision | Recall |
| 0.36 | 1.10 | 2.00 | 0.66 | 0.48 |
| 0.36 | 1.10 | 3.00 | 0.68 | 0.46 |
| 0.36 | 1.10 | 4.00 | 0.70 | 0.44 |
| 0.36 | 1.15 | 1.00 | 0.70 | 0.44 |
| 0.36 | 1.15 | 2.00 | 0.71 | 0.43 |
| 0.36 | 1.15 | 3.00 | 0.72 | 0.42 |
| 0.36 | 1.15 | 4.00 | 0.73 | 0.41 |
| 0.36 | 1.20 | 1.00 | 0.73 | 0.41 |
| 0.36 | 1.20 | 2.00 | 0.73 | 0.40 |
| 0.36 | 1.20 | 3.00 | 0.74 | 0.39 |
| 0.36 | 1.20 | 4.00 | 0.75 | 0.38 |
| 0.36 | 1.25 | 1.00 | 0.75 | 0.38 |
| 0.36 | 1.25 | 2.00 | 0.76 | 0.37 |
| 0.36 | 1.25 | 3.00 | 0.77 | 0.36 |
| 0.36 | 1.25 | 4.00 | 0.77 | 0.35 |
| 0.36 | 1.30 | 1.00 | 0.77 | 0.35 |
| 0.36 | 1.30 | 2.00 | 0.78 | 0.35 |
| 0.36 | 1.30 | 3.00 | 0.78 | 0.34 |
| 0.36 | 1.30 | 4.00 | 0.78 | 0.33 |
| 0.37 | 1.05 | 1.00 | 0.51 | 0.62 |
| 0.37 | 1.05 | 2.00 | 0.56 | 0.56 |
| 0.37 | 1.05 | 3.00 | 0.60 | 0.51 |
| 0.37 | 1.05 | 4.00 | 0.64 | 0.49 |
| 0.37 | 1.10 | 1.00 | 0.64 | 0.49 |
| 0.37 | 1.10 | 2.00 | 0.66 | 0.48 |
| 0.37 | 1.10 | 3.00 | 0.68 | 0.46 |
| 0.37 | 1.10 | 4.00 | 0.70 | 0.44 |
| 0.37 | 1.15 | 1.00 | 0.70 | 0.44 |
| 0.37 | 1.15 | 2.00 | 0.71 | 0.43 |
| 0.37 | 1.15 | 3.00 | 0.72 | 0.42 |
| 0.37 | 1.15 | 4.00 | 0.73 | 0.41 |
| 0.37 | 1.20 | 1.00 | 0.73 | 0.41 |
| 0.37 | 1.20 | 2.00 | 0.73 | 0.40 |
| 0.37 | 1.20 | 3.00 | 0.74 | 0.39 |
| 0.37 | 1.20 | 4.00 | 0.75 | 0.38 |
| 0.37 | 1.25 | 1.00 | 0.75 | 0.38 |
| 0.37 | 1.25 | 2.00 | 0.76 | 0.37 |
| 0.37 | 1.25 | 3.00 | 0.77 | 0.36 |
| 0.37 | 1.25 | 4.00 | 0.77 | 0.35 |
| 0.37 | 1.30 | 1.00 | 0.77 | 0.35 |
| 0.37 | 1.30 | 2.00 | 0.78 | 0.35 |
| 0.37 | 1.30 | 3.00 | 0.78 | 0.34 |
| 0.37 | 1.30 | 4.00 | 0.78 | 0.33 |
| 0.38 | 1.05 | 1.00 | 0.51 | 0.62 |
| 0.38 | 1.05 | 2.00 | 0.56 | 0.56 |
| 0.38 | 1.05 | 3.00 | 0.60 | 0.51 |
| 0.38 | 1.05 | 4.00 | 0.63 | 0.49 |
| 0.38 | 1.10 | 1.00 | 0.64 | 0.49 |
| 0.38 | 1.10 | 2.00 | 0.66 | 0.48 |
| 0.38 | 1.10 | 3.00 | 0.68 | 0.46 |
| 0.38 | 1.10 | 4.00 | 0.70 | 0.44 |
| 0.38 | 1.15 | 1.00 | 0.70 | 0.44 |
| 0.38 | 1.15 | 2.00 | 0.70 | 0.43 |
| 0.38 | 1.15 | 3.00 | 0.71 | 0.42 |
| 0.38 | 1.15 | 4.00 | 0.72 | 0.41 |
| 0.38 | 1.20 | 1.00 | 0.72 | 0.40 |
| 0.38 | 1.20 | 2.00 | 0.73 | 0.40 |
| 0.38 | 1.20 | 3.00 | 0.74 | 0.39 |
| 0.38 | 1.20 | 4.00 | 0.75 | 0.38 |
| 0.38 | 1.25 | 1.00 | 0.75 | 0.38 |
| 0.38 | 1.25 | 2.00 | 0.76 | 0.37 |
| 0.38 | 1.25 | 3.00 | 0.76 | 0.36 |
| 0.38 | 1.25 | 4.00 | 0.77 | 0.35 |
| 0.38 | 1.30 | 1.00 | 0.77 | 0.35 |
| 0.38 | 1.30 | 2.00 | 0.77 | 0.35 |
| 0.38 | 1.30 | 3.00 | 0.78 | 0.34 |
| 0.38 | 1.30 | 4.00 | 0.78 | 0.33 |
| 0.39 | 1.05 | 1.00 | 0.50 | 0.61 |
| 0.39 | 1.05 | 2.00 | 0.55 | 0.55 |
| 0.39 | 1.05 | 3.00 | 0.59 | 0.51 |
| 0.39 | 1.05 | 4.00 | 0.63 | 0.49 |
| 0.39 | 1.10 | 1.00 | 0.63 | 0.49 |
| 0.39 | 1.10 | 2.00 | 0.65 | 0.47 |
| 0.39 | 1.10 | 3.00 | 0.67 | 0.46 |
| 0.39 | 1.10 | 4.00 | 0.69 | 0.44 |
| 0.39 | 1.15 | 1.00 | 0.69 | 0.44 |
| 0.39 | 1.15 | 2.00 | 0.70 | 0.43 |
| 0.39 | 1.15 | 3.00 | 0.71 | 0.42 |
| 0.39 | 1.15 | 4.00 | 0.72 | 0.41 |
| 0.39 | 1.20 | 1.00 | 0.72 | 0.40 |
| 0.39 | 1.20 | 2.00 | 0.73 | 0.40 |
| 0.39 | 1.20 | 3.00 | 0.74 | 0.39 |
| 0.39 | 1.20 | 4.00 | 0.74 | 0.37 |
| 0.39 | 1.25 | 1.00 | 0.75 | 0.37 |
| 0.39 | 1.25 | 2.00 | 0.75 | 0.37 |
| 0.39 | 1.25 | 3.00 | 0.76 | 0.36 |
| 0.39 | 1.25 | 4.00 | 0.77 | 0.35 |
| 0.39 | 1.30 | 1.00 | 0.76 | 0.35 |
| 0.39 | 1.30 | 2.00 | 0.77 | 0.34 |
| 0.39 | 1.30 | 3.00 | 0.77 | 0.34 |
| 0.39 | 1.30 | 4.00 | 0.77 | 0.33 |
| 0.40 | 1.05 | 1.00 | 0.49 | 0.61 |
| 0.40 | 1.05 | 2.00 | 0.55 | 0.55 |
| 0.40 | 1.05 | 3.00 | 0.58 | 0.51 |
| 0.40 | 1.05 | 4.00 | 0.62 | 0.48 |
| 0.40 | 1.10 | 1.00 | 0.62 | 0.49 |
| 0.40 | 1.10 | 2.00 | 0.65 | 0.47 |
| 0.40 | 1.10 | 3.00 | 0.67 | 0.46 |
| 0.40 | 1.10 | 4.00 | 0.69 | 0.44 |
| 0.40 | 1.15 | 1.00 | 0.69 | 0.44 |
| 0.40 | 1.15 | 2.00 | 0.69 | 0.43 |
| 0.40 | 1.15 | 3.00 | 0.71 | 0.42 |
| 0.40 | 1.15 | 4.00 | 0.72 | 0.40 |
| 0.40 | 1.20 | 1.00 | 0.72 | 0.40 |
| 0.40 | 1.20 | 2.00 | 0.72 | 0.39 |
| 0.40 | 1.20 | 3.00 | 0.73 | 0.38 |
| 0.40 | 1.20 | 4.00 | 0.74 | 0.37 |
| 0.40 | 1.25 | 1.00 | 0.74 | 0.37 |
| 0.40 | 1.25 | 2.00 | 0.75 | 0.37 |
| 0.40 | 1.25 | 3.00 | 0.76 | 0.36 |
| 0.40 | 1.25 | 4.00 | 0.76 | 0.35 |
| 0.40 | 1.30 | 1.00 | 0.76 | 0.35 |
| 0.40 | 1.30 | 2.00 | 0.76 | 0.34 |
| 0.40 | 1.30 | 3.00 | 0.77 | 0.34 |
| 0.40 | 1.30 | 4.00 | 0.77 | 0.33 |
| 0.41 | 1.05 | 1.00 | 0.49 | 0.61 |
| 0.41 | 1.05 | 2.00 | 0.54 | 0.55 |
| 0.41 | 1.05 | 3.00 | 0.58 | 0.51 |
| 0.41 | 1.05 | 4.00 | 0.61 | 0.48 |
| 0.41 | 1.10 | 1.00 | 0.62 | 0.48 |
| 0.41 | 1.10 | 2.00 | 0.64 | 0.47 |
| 0.41 | 1.10 | 3.00 | 0.66 | 0.46 |
| 0.41 | 1.10 | 4.00 | 0.68 | 0.44 |
| 0.41 | 1.15 | 1.00 | 0.68 | 0.44 |
| 0.41 | 1.15 | 2.00 | 0.69 | 0.43 |
| 0.41 | 1.15 | 3.00 | 0.70 | 0.41 |
| 0.41 | 1.15 | 4.00 | 0.71 | 0.40 |
| 0.41 | 1.20 | 1.00 | 0.71 | 0.40 |
| 0.41 | 1.20 | 2.00 | 0.72 | 0.39 |
| 0.41 | 1.20 | 3.00 | 0.73 | 0.38 |
| 0.41 | 1.20 | 4.00 | 0.73 | 0.37 |
| 0.41 | 1.25 | 1.00 | 0.74 | 0.37 |
| 0.41 | 1.25 | 2.00 | 0.74 | 0.37 |
| 0.41 | 1.25 | 3.00 | 0.75 | 0.36 |
| 0.41 | 1.25 | 4.00 | 0.76 | 0.35 |
| 0.41 | 1.30 | 1.00 | 0.76 | 0.35 |
| 0.41 | 1.30 | 2.00 | 0.76 | 0.34 |
| 0.41 | 1.30 | 3.00 | 0.76 | 0.33 |
| 0.41 | 1.30 | 4.00 | 0.77 | 0.33 |
| 0.42 | 1.05 | 1.00 | 0.49 | 0.61 |
| 0.42 | 1.05 | 2.00 | 0.54 | 0.55 |
| 0.42 | 1.05 | 3.00 | 0.58 | 0.50 |
| 0.42 | 1.05 | 4.00 | 0.61 | 0.48 |
| 0.42 | 1.10 | 1.00 | 0.61 | 0.48 |
| 0.42 | 1.10 | 2.00 | 0.64 | 0.47 |
| 0.42 | 1.10 | 3.00 | 0.66 | 0.45 |
| 0.42 | 1.10 | 4.00 | 0.68 | 0.43 |
| 0.42 | 1.15 | 1.00 | 0.68 | 0.43 |
| 0.42 | 1.15 | 2.00 | 0.68 | 0.42 |
| 0.42 | 1.15 | 3.00 | 0.69 | 0.41 |
| 0.42 | 1.15 | 4.00 | 0.70 | 0.40 |
| 0.42 | 1.20 | 1.00 | 0.70 | 0.40 |
| 0.42 | 1.20 | 2.00 | 0.71 | 0.39 |
| 0.42 | 1.20 | 3.00 | 0.72 | 0.38 |
| 0.42 | 1.20 | 4.00 | 0.73 | 0.37 |
| 0.42 | 1.25 | 1.00 | 0.73 | 0.37 |
| 0.42 | 1.25 | 2.00 | 0.74 | 0.36 |
| 0.42 | 1.25 | 3.00 | 0.75 | 0.36 |
| 0.42 | 1.25 | 4.00 | 0.75 | 0.35 |
| 0.42 | 1.30 | 1.00 | 0.75 | 0.35 |
| 0.42 | 1.30 | 2.00 | 0.75 | 0.34 |
| 0.42 | 1.30 | 3.00 | 0.76 | 0.33 |
| 0.42 | 1.30 | 4.00 | 0.76 | 0.32 |
| 0.43 | 1.05 | 1.00 | 0.48 | 0.61 |
| 0.43 | 1.05 | 2.00 | 0.54 | 0.55 |
| 0.43 | 1.05 | 3.00 | 0.57 | 0.50 |
| 0.43 | 1.05 | 4.00 | 0.61 | 0.48 |
| 0.43 | 1.10 | 1.00 | 0.61 | 0.48 |
| 0.43 | 1.10 | 2.00 | 0.63 | 0.47 |
| 0.43 | 1.10 | 3.00 | 0.66 | 0.45 |
| 0.43 | 1.10 | 4.00 | 0.67 | 0.43 |
| 0.43 | 1.15 | 1.00 | 0.67 | 0.43 |
| 0.43 | 1.15 | 2.00 | 0.68 | 0.42 |
| 0.43 | 1.15 | 3.00 | 0.69 | 0.41 |
| 0.43 | 1.15 | 4.00 | 0.70 | 0.40 |
| 0.43 | 1.20 | 1.00 | 0.70 | 0.40 |
| 0.43 | 1.20 | 2.00 | 0.71 | 0.39 |
| 0.43 | 1.20 | 3.00 | 0.72 | 0.38 |
| 0.43 | 1.20 | 4.00 | 0.72 | 0.37 |
| 0.43 | 1.25 | 1.00 | 0.73 | 0.37 |
| 0.43 | 1.25 | 2.00 | 0.73 | 0.36 |
| 0.43 | 1.25 | 3.00 | 0.74 | 0.35 |
| 0.43 | 1.25 | 4.00 | 0.75 | 0.34 |
| 0.43 | 1.30 | 1.00 | 0.75 | 0.34 |
| 0.43 | 1.30 | 2.00 | 0.75 | 0.34 |
| 0.43 | 1.30 | 3.00 | 0.75 | 0.33 |
| 0.43 | 1.30 | 4.00 | 0.76 | 0.32 |
| 0.44 | 1.05 | 1.00 | 0.48 | 0.60 |
| 0.44 | 1.05 | 2.00 | 0.53 | 0.54 |
| 0.44 | 1.05 | 3.00 | 0.57 | 0.50 |
| 0.44 | 1.05 | 4.00 | 0.60 | 0.48 |
| 0.44 | 1.10 | 1.00 | 0.61 | 0.48 |
| 0.44 | 1.10 | 2.00 | 0.63 | 0.47 |
| 0.44 | 1.10 | 3.00 | 0.65 | 0.45 |
| 0.44 | 1.10 | 4.00 | 0.67 | 0.43 |
| 0.44 | 1.15 | 1.00 | 0.67 | 0.43 |
| 0.44 | 1.15 | 2.00 | 0.67 | 0.42 |
| 0.44 | 1.15 | 3.00 | 0.68 | 0.41 |
| 0.44 | 1.15 | 4.00 | 0.69 | 0.40 |
| 0.44 | 1.20 | 1.00 | 0.69 | 0.39 |
| 0.44 | 1.20 | 2.00 | 0.70 | 0.39 |
| 0.44 | 1.20 | 3.00 | 0.71 | 0.38 |
| 0.44 | 1.20 | 4.00 | 0.72 | 0.37 |
| 0.44 | 1.25 | 1.00 | 0.72 | 0.37 |
| 0.44 | 1.25 | 2.00 | 0.73 | 0.36 |
| 0.44 | 1.25 | 3.00 | 0.73 | 0.35 |
| 0.44 | 1.25 | 4.00 | 0.74 | 0.34 |
| 0.44 | 1.30 | 1.00 | 0.74 | 0.34 |
| 0.44 | 1.30 | 2.00 | 0.74 | 0.34 |
| 0.44 | 1.30 | 3.00 | 0.75 | 0.33 |
| 0.44 | 1.30 | 4.00 | 0.75 | 0.32 |
| 0.45 | 1.05 | 1.00 | 0.47 | 0.60 |
| 0.45 | 1.05 | 2.00 | 0.53 | 0.54 |
| 0.45 | 1.05 | 3.00 | 0.56 | 0.50 |
| 0.45 | 1.05 | 4.00 | 0.60 | 0.47 |
| 0.45 | 1.10 | 1.00 | 0.60 | 0.48 |
| 0.45 | 1.10 | 2.00 | 0.62 | 0.46 |
| 0.45 | 1.10 | 3.00 | 0.64 | 0.45 |
| 0.45 | 1.10 | 4.00 | 0.66 | 0.43 |
| 0.45 | 1.15 | 1.00 | 0.66 | 0.43 |
| 0.45 | 1.15 | 2.00 | 0.67 | 0.42 |
| 0.45 | 1.15 | 3.00 | 0.68 | 0.41 |
| 0.45 | 1.15 | 4.00 | 0.69 | 0.39 |
| 0.45 | 1.20 | 1.00 | 0.69 | 0.39 |
| 0.45 | 1.20 | 2.00 | 0.70 | 0.39 |
| 0.45 | 1.20 | 3.00 | 0.70 | 0.37 |
| 0.45 | 1.20 | 4.00 | 0.71 | 0.36 |
| 0.45 | 1.25 | 1.00 | 0.71 | 0.36 |
| 0.45 | 1.25 | 2.00 | 0.72 | 0.36 |
| 0.45 | 1.25 | 3.00 | 0.73 | 0.35 |
| 0.45 | 1.25 | 4.00 | 0.73 | 0.34 |
| 0.45 | 1.30 | 1.00 | 0.73 | 0.34 |
| 0.45 | 1.30 | 2.00 | 0.73 | 0.33 |
| 0.45 | 1.30 | 3.00 | 0.74 | 0.33 |
| 0.45 | 1.30 | 4.00 | 0.74 | 0.32 |
| 0.46 | 1.05 | 1.00 | 0.47 | 0.60 |
| 0.46 | 1.05 | 2.00 | 0.53 | 0.54 |
| 0.46 | 1.05 | 3.00 | 0.56 | 0.50 |
| 0.46 | 1.05 | 4.00 | 0.60 | 0.47 |
| 0.46 | 1.10 | 1.00 | 0.60 | 0.48 |
| 0.46 | 1.10 | 2.00 | 0.62 | 0.46 |
| 0.46 | 1.10 | 3.00 | 0.64 | 0.45 |
| 0.46 | 1.10 | 4.00 | 0.66 | 0.43 |
| 0.46 | 1.15 | 1.00 | 0.65 | 0.43 |
| 0.46 | 1.15 | 2.00 | 0.66 | 0.42 |
| 0.46 | 1.15 | 3.00 | 0.67 | 0.41 |
| 0.46 | 1.15 | 4.00 | 0.68 | 0.39 |
| 0.46 | 1.20 | 1.00 | 0.68 | 0.39 |
| 0.46 | 1.20 | 2.00 | 0.69 | 0.38 |
| 0.46 | 1.20 | 3.00 | 0.70 | 0.37 |
| 0.46 | 1.20 | 4.00 | 0.70 | 0.36 |
| 0.46 | 1.25 | 1.00 | 0.71 | 0.36 |
| 0.46 | 1.25 | 2.00 | 0.71 | 0.36 |
| 0.46 | 1.25 | 3.00 | 0.72 | 0.35 |
| 0.46 | 1.25 | 4.00 | 0.72 | 0.34 |
| 0.46 | 1.30 | 1.00 | 0.72 | 0.34 |
| 0.46 | 1.30 | 2.00 | 0.73 | 0.33 |
| 0.46 | 1.30 | 3.00 | 0.73 | 0.32 |
| 0.46 | 1.30 | 4.00 | 0.73 | 0.32 |
| 0.47 | 1.05 | 1.00 | 0.47 | 0.60 |
| 0.47 | 1.05 | 2.00 | 0.53 | 0.54 |
| 0.47 | 1.05 | 3.00 | 0.56 | 0.50 |
| 0.47 | 1.05 | 4.00 | 0.60 | 0.47 |
| 0.47 | 1.10 | 1.00 | 0.60 | 0.48 |
| 0.47 | 1.10 | 2.00 | 0.62 | 0.46 |
| 0.47 | 1.10 | 3.00 | 0.64 | 0.45 |
| 0.47 | 1.10 | 4.00 | 0.66 | 0.43 |
| 0.47 | 1.15 | 1.00 | 0.65 | 0.43 |
| 0.47 | 1.15 | 2.00 | 0.66 | 0.42 |
| 0.47 | 1.15 | 3.00 | 0.67 | 0.40 |
| 0.47 | 1.15 | 4.00 | 0.68 | 0.39 |
| 0.47 | 1.20 | 1.00 | 0.68 | 0.39 |
| 0.47 | 1.20 | 2.00 | 0.69 | 0.38 |
| 0.47 | 1.20 | 3.00 | 0.69 | 0.37 |
| 0.47 | 1.20 | 4.00 | 0.70 | 0.36 |
| 0.47 | 1.25 | 1.00 | 0.70 | 0.36 |
| 0.47 | 1.25 | 2.00 | 0.71 | 0.35 |
| 0.47 | 1.25 | 3.00 | 0.72 | 0.35 |
| 0.47 | 1.25 | 4.00 | 0.72 | 0.34 |
| 0.47 | 1.30 | 1.00 | 0.72 | 0.34 |
| 0.47 | 1.30 | 2.00 | 0.72 | 0.33 |
| 0.47 | 1.30 | 3.00 | 0.73 | 0.32 |
| 0.47 | 1.30 | 4.00 | 0.73 | 0.31 |
| 0.48 | 1.05 | 1.00 | 0.47 | 0.60 |
| 0.48 | 1.05 | 2.00 | 0.52 | 0.54 |
| 0.48 | 1.05 | 3.00 | 0.56 | 0.50 |
| 0.48 | 1.05 | 4.00 | 0.59 | 0.47 |
| 0.48 | 1.10 | 1.00 | 0.60 | 0.48 |
| 0.48 | 1.10 | 2.00 | 0.62 | 0.46 |
| 0.48 | 1.10 | 3.00 | 0.64 | 0.45 |
| 0.48 | 1.10 | 4.00 | 0.65 | 0.43 |
| 0.48 | 1.15 | 1.00 | 0.65 | 0.42 |
| 0.48 | 1.15 | 2.00 | 0.66 | 0.41 |
| 0.48 | 1.15 | 3.00 | 0.67 | 0.40 |
| 0.48 | 1.15 | 4.00 | 0.68 | 0.39 |
| 0.48 | 1.20 | 1.00 | 0.68 | 0.39 |
| 0.48 | 1.20 | 2.00 | 0.68 | 0.38 |
| 0.48 | 1.20 | 3.00 | 0.69 | 0.37 |
| 0.48 | 1.20 | 4.00 | 0.70 | 0.36 |
| 0.48 | 1.25 | 1.00 | 0.70 | 0.36 |
| 0.48 | 1.25 | 2.00 | 0.71 | 0.35 |
| 0.48 | 1.25 | 3.00 | 0.71 | 0.34 |
| 0.48 | 1.25 | 4.00 | 0.72 | 0.34 |
| 0.48 | 1.30 | 1.00 | 0.72 | 0.33 |
| 0.48 | 1.30 | 2.00 | 0.72 | 0.33 |
| 0.48 | 1.30 | 3.00 | 0.72 | 0.32 |
| 0.48 | 1.30 | 4.00 | 0.73 | 0.31 |
| 0.49 | 1.05 | 1.00 | 0.46 | 0.59 |
| 0.49 | 1.05 | 2.00 | 0.52 | 0.54 |
| 0.49 | 1.05 | 3.00 | 0.55 | 0.49 |
| 0.49 | 1.05 | 4.00 | 0.59 | 0.47 |
| 0.49 | 1.10 | 1.00 | 0.59 | 0.47 |
| 0.49 | 1.10 | 2.00 | 0.61 | 0.46 |
| 0.49 | 1.10 | 3.00 | 0.63 | 0.44 |
| 0.49 | 1.10 | 4.00 | 0.65 | 0.42 |
| 0.49 | 1.15 | 1.00 | 0.64 | 0.42 |
| 0.49 | 1.15 | 2.00 | 0.65 | 0.41 |
| 0.49 | 1.15 | 3.00 | 0.66 | 0.40 |
| 0.49 | 1.15 | 4.00 | 0.67 | 0.39 |
| 0.49 | 1.20 | 1.00 | 0.67 | 0.39 |
| 0.49 | 1.20 | 2.00 | 0.68 | 0.38 |
| 0.49 | 1.20 | 3.00 | 0.69 | 0.37 |
| 0.49 | 1.20 | 4.00 | 0.69 | 0.36 |
| 0.49 | 1.25 | 1.00 | 0.69 | 0.36 |
| 0.49 | 1.25 | 2.00 | 0.70 | 0.35 |
| 0.49 | 1.25 | 3.00 | 0.71 | 0.34 |
| 0.49 | 1.25 | 4.00 | 0.71 | 0.33 |
| 0.49 | 1.30 | 1.00 | 0.71 | 0.33 |
| 0.49 | 1.30 | 2.00 | 0.71 | 0.33 |
| 0.49 | 1.30 | 3.00 | 0.72 | 0.32 |
| 0.49 | 1.30 | 4.00 | 0.72 | 0.31 |
| 0.50 | 1.05 | 1.00 | 0.46 | 0.59 |
| 0.50 | 1.05 | 2.00 | 0.52 | 0.54 |
| 0.50 | 1.05 | 3.00 | 0.55 | 0.49 |
| 0.50 | 1.05 | 4.00 | 0.59 | 0.47 |
| 0.50 | 1.10 | 1.00 | 0.59 | 0.47 |
| 0.50 | 1.10 | 2.00 | 0.61 | 0.46 |
| 0.50 | 1.10 | 3.00 | 0.63 | 0.44 |
| 0.50 | 1.10 | 4.00 | 0.64 | 0.42 |
| 0.50 | 1.15 | 1.00 | 0.64 | 0.42 |
| 0.50 | 1.15 | 2.00 | 0.65 | 0.41 |
| 0.50 | 1.15 | 3.00 | 0.66 | 0.40 |
| 0.50 | 1.15 | 4.00 | 0.67 | 0.39 |
| 0.50 | 1.20 | 1.00 | 0.67 | 0.38 |
| 0.50 | 1.20 | 2.00 | 0.67 | 0.38 |
| 0.50 | 1.20 | 3.00 | 0.68 | 0.37 |
| 0.50 | 1.20 | 4.00 | 0.69 | 0.36 |
| 0.50 | 1.25 | 1.00 | 0.69 | 0.36 |
| 0.50 | 1.25 | 2.00 | 0.69 | 0.35 |
| 0.50 | 1.25 | 3.00 | 0.70 | 0.34 |
| 0.50 | 1.25 | 4.00 | 0.71 | 0.33 |
| 0.50 | 1.30 | 1.00 | 0.70 | 0.33 |
| 0.50 | 1.30 | 2.00 | 0.71 | 0.33 |
| 0.50 | 1.30 | 3.00 | 0.71 | 0.32 |
| 0.50 | 1.30 | 4.00 | 0.71 | 0.31 |
| 0.51 | 1.05 | 1.00 | 0.46 | 0.59 |
| 0.51 | 1.05 | 2.00 | 0.52 | 0.54 |
| 0.51 | 1.05 | 3.00 | 0.55 | 0.49 |
| 0.51 | 1.05 | 4.00 | 0.58 | 0.47 |
| 0.51 | 1.10 | 1.00 | 0.58 | 0.47 |
| 0.51 | 1.10 | 2.00 | 0.60 | 0.45 |
| 0.51 | 1.10 | 3.00 | 0.62 | 0.44 |
| 0.51 | 1.10 | 4.00 | 0.63 | 0.42 |
| 0.51 | 1.15 | 1.00 | 0.63 | 0.42 |
| 0.51 | 1.15 | 2.00 | 0.64 | 0.41 |
| 0.51 | 1.15 | 3.00 | 0.65 | 0.40 |
| 0.51 | 1.15 | 4.00 | 0.66 | 0.38 |
| 0.51 | 1.20 | 1.00 | 0.66 | 0.38 |
| 0.51 | 1.20 | 2.00 | 0.66 | 0.37 |
| 0.51 | 1.20 | 3.00 | 0.67 | 0.36 |
| 0.51 | 1.20 | 4.00 | 0.68 | 0.35 |
| 0.51 | 1.25 | 1.00 | 0.68 | 0.35 |
| 0.51 | 1.25 | 2.00 | 0.69 | 0.35 |
| 0.51 | 1.25 | 3.00 | 0.69 | 0.34 |
| 0.51 | 1.25 | 4.00 | 0.70 | 0.33 |
| 0.51 | 1.30 | 1.00 | 0.70 | 0.33 |
| 0.51 | 1.30 | 2.00 | 0.70 | 0.32 |
| 0.51 | 1.30 | 3.00 | 0.70 | 0.32 |
| 0.51 | 1.30 | 4.00 | 0.70 | 0.31 |
| 0.52 | 1.05 | 1.00 | 0.46 | 0.59 |
| 0.52 | 1.05 | 2.00 | 0.51 | 0.53 |
| 0.52 | 1.05 | 3.00 | 0.54 | 0.49 |
| 0.52 | 1.05 | 4.00 | 0.57 | 0.46 |
| 0.52 | 1.10 | 1.00 | 0.57 | 0.46 |
| 0.52 | 1.10 | 2.00 | 0.59 | 0.45 |
| 0.52 | 1.10 | 3.00 | 0.61 | 0.43 |
| 0.52 | 1.10 | 4.00 | 0.62 | 0.41 |
| 0.52 | 1.15 | 1.00 | 0.62 | 0.41 |
| 0.52 | 1.15 | 2.00 | 0.63 | 0.40 |
| 0.52 | 1.15 | 3.00 | 0.64 | 0.39 |
| 0.52 | 1.15 | 4.00 | 0.64 | 0.38 |
| 0.52 | 1.20 | 1.00 | 0.64 | 0.38 |
| 0.52 | 1.20 | 2.00 | 0.65 | 0.37 |
| 0.52 | 1.20 | 3.00 | 0.66 | 0.36 |
| 0.52 | 1.20 | 4.00 | 0.67 | 0.35 |
| 0.52 | 1.25 | 1.00 | 0.67 | 0.35 |
| 0.52 | 1.25 | 2.00 | 0.67 | 0.34 |
| 0.52 | 1.25 | 3.00 | 0.68 | 0.33 |
| 0.52 | 1.25 | 4.00 | 0.69 | 0.33 |
| 0.52 | 1.30 | 1.00 | 0.69 | 0.32 |
| 0.52 | 1.30 | 2.00 | 0.69 | 0.32 |
| 0.52 | 1.30 | 3.00 | 0.69 | 0.31 |
| 0.52 | 1.30 | 4.00 | 0.69 | 0.30 |
| 0.53 | 1.05 | 1.00 | 0.45 | 0.59 |
| 0.53 | 1.05 | 2.00 | 0.50 | 0.53 |
| 0.53 | 1.05 | 3.00 | 0.53 | 0.48 |
| 0.53 | 1.05 | 4.00 | 0.56 | 0.46 |
| 0.53 | 1.10 | 1.00 | 0.56 | 0.46 |
| 0.53 | 1.10 | 2.00 | 0.58 | 0.45 |
| 0.53 | 1.10 | 3.00 | 0.60 | 0.43 |
| 0.53 | 1.10 | 4.00 | 0.61 | 0.41 |
| 0.53 | 1.15 | 1.00 | 0.61 | 0.41 |
| 0.53 | 1.15 | 2.00 | 0.62 | 0.40 |
| 0.53 | 1.15 | 3.00 | 0.62 | 0.39 |
| 0.53 | 1.15 | 4.00 | 0.63 | 0.37 |
| 0.53 | 1.20 | 1.00 | 0.63 | 0.37 |
| 0.53 | 1.20 | 2.00 | 0.64 | 0.37 |
| 0.53 | 1.20 | 3.00 | 0.65 | 0.36 |
| 0.53 | 1.20 | 4.00 | 0.65 | 0.35 |
| 0.53 | 1.25 | 1.00 | 0.66 | 0.34 |
| 0.53 | 1.25 | 2.00 | 0.66 | 0.34 |
| 0.53 | 1.25 | 3.00 | 0.67 | 0.33 |
| 0.53 | 1.25 | 4.00 | 0.67 | 0.32 |
| 0.53 | 1.30 | 1.00 | 0.67 | 0.32 |
| 0.53 | 1.30 | 2.00 | 0.67 | 0.32 |
| 0.53 | 1.30 | 3.00 | 0.68 | 0.31 |
| 0.53 | 1.30 | 4.00 | 0.68 | 0.30 |
| 0.54 | 1.05 | 1.00 | 0.43 | 0.58 |
| 0.54 | 1.05 | 2.00 | 0.48 | 0.52 |
| 0.54 | 1.05 | 3.00 | 0.51 | 0.47 |
| 0.54 | 1.05 | 4.00 | 0.54 | 0.45 |
| 0.54 | 1.10 | 1.00 | 0.54 | 0.45 |
| 0.54 | 1.10 | 2.00 | 0.55 | 0.43 |
| 0.54 | 1.10 | 3.00 | 0.57 | 0.42 |
| 0.54 | 1.10 | 4.00 | 0.58 | 0.40 |
| 0.54 | 1.15 | 1.00 | 0.58 | 0.40 |
