| Threshold | Scale factor | Min. neighbors | Precision | Recall |
| 0.06 | 1.30 | 4.00 | 0.81 | 0.34 |
| 0.07 | 1.05 | 1.00 | 0.54 | 0.63 |
| 0.07 | 1.05 | 2.00 | 0.59 | 0.57 |
| 0.07 | 1.05 | 3.00 | 0.63 | 0.53 |
| 0.07 | 1.05 | 4.00 | 0.67 | 0.50 |
| 0.07 | 1.10 | 1.00 | 0.67 | 0.50 |
| 0.07 | 1.10 | 2.00 | 0.69 | 0.49 |
| 0.07 | 1.10 | 3.00 | 0.71 | 0.47 |
| 0.07 | 1.10 | 4.00 | 0.72 | 0.45 |
| 0.07 | 1.15 | 1.00 | 0.72 | 0.45 |
| 0.07 | 1.15 | 2.00 | 0.73 | 0.44 |
| 0.07 | 1.15 | 3.00 | 0.74 | 0.43 |
| 0.07 | 1.15 | 4.00 | 0.75 | 0.42 |
| 0.07 | 1.20 | 1.00 | 0.75 | 0.41 |
| 0.07 | 1.20 | 2.00 | 0.76 | 0.41 |
| 0.07 | 1.20 | 3.00 | 0.77 | 0.40 |
| 0.07 | 1.20 | 4.00 | 0.77 | 0.38 |
| 0.07 | 1.25 | 1.00 | 0.78 | 0.38 |
| 0.07 | 1.25 | 2.00 | 0.78 | 0.38 |
| 0.07 | 1.25 | 3.00 | 0.79 | 0.37 |
| 0.07 | 1.25 | 4.00 | 0.79 | 0.36 |
| 0.07 | 1.30 | 1.00 | 0.80 | 0.36 |
| 0.07 | 1.30 | 2.00 | 0.80 | 0.35 |
| 0.07 | 1.30 | 3.00 | 0.80 | 0.35 |
| 0.07 | 1.30 | 4.00 | 0.81 | 0.34 |
| 0.08 | 1.05 | 1.00 | 0.54 | 0.63 |
| 0.08 | 1.05 | 2.00 | 0.59 | 0.57 |
| 0.08 | 1.05 | 3.00 | 0.63 | 0.53 |
| 0.08 | 1.05 | 4.00 | 0.67 | 0.50 |
| 0.08 | 1.10 | 1.00 | 0.67 | 0.50 |
| 0.08 | 1.10 | 2.00 | 0.69 | 0.49 |
| 0.08 | 1.10 | 3.00 | 0.71 | 0.47 |
| 0.08 | 1.10 | 4.00 | 0.72 | 0.45 |
| 0.08 | 1.15 | 1.00 | 0.72 | 0.45 |
| 0.08 | 1.15 | 2.00 | 0.73 | 0.44 |
| 0.08 | 1.15 | 3.00 | 0.74 | 0.43 |
| 0.08 | 1.15 | 4.00 | 0.75 | 0.42 |
| 0.08 | 1.20 | 1.00 | 0.75 | 0.41 |
| 0.08 | 1.20 | 2.00 | 0.76 | 0.41 |
| 0.08 | 1.20 | 3.00 | 0.77 | 0.40 |
| 0.08 | 1.20 | 4.00 | 0.77 | 0.38 |
| 0.08 | 1.25 | 1.00 | 0.78 | 0.38 |
| 0.08 | 1.25 | 2.00 | 0.78 | 0.38 |
| 0.08 | 1.25 | 3.00 | 0.79 | 0.37 |
| 0.08 | 1.25 | 4.00 | 0.79 | 0.36 |
| 0.08 | 1.30 | 1.00 | 0.80 | 0.36 |
| 0.08 | 1.30 | 2.00 | 0.80 | 0.35 |
| 0.08 | 1.30 | 3.00 | 0.80 | 0.35 |
| 0.08 | 1.30 | 4.00 | 0.81 | 0.34 |
| 0.09 | 1.05 | 1.00 | 0.54 | 0.63 |
| 0.09 | 1.05 | 2.00 | 0.59 | 0.57 |
| 0.09 | 1.05 | 3.00 | 0.63 | 0.53 |
| 0.09 | 1.05 | 4.00 | 0.67 | 0.50 |
| 0.09 | 1.10 | 1.00 | 0.67 | 0.50 |
| 0.09 | 1.10 | 2.00 | 0.69 | 0.49 |
| 0.09 | 1.10 | 3.00 | 0.71 | 0.47 |
| 0.09 | 1.10 | 4.00 | 0.72 | 0.45 |
| 0.09 | 1.15 | 1.00 | 0.72 | 0.45 |
| 0.09 | 1.15 | 2.00 | 0.73 | 0.44 |
| 0.09 | 1.15 | 3.00 | 0.74 | 0.43 |
| 0.09 | 1.15 | 4.00 | 0.75 | 0.42 |
| 0.09 | 1.20 | 1.00 | 0.75 | 0.41 |
| 0.09 | 1.20 | 2.00 | 0.76 | 0.41 |
| 0.09 | 1.20 | 3.00 | 0.77 | 0.40 |
| 0.09 | 1.20 | 4.00 | 0.77 | 0.38 |
| 0.09 | 1.25 | 1.00 | 0.78 | 0.38 |
| 0.09 | 1.25 | 2.00 | 0.78 | 0.38 |
| 0.09 | 1.25 | 3.00 | 0.79 | 0.37 |
| 0.09 | 1.25 | 4.00 | 0.79 | 0.36 |
| 0.09 | 1.30 | 1.00 | 0.79 | 0.36 |
| 0.09 | 1.30 | 2.00 | 0.80 | 0.35 |
| 0.09 | 1.30 | 3.00 | 0.80 | 0.35 |
| 0.09 | 1.30 | 4.00 | 0.80 | 0.34 |
| 0.10 | 1.05 | 1.00 | 0.54 | 0.63 |
| 0.10 | 1.05 | 2.00 | 0.59 | 0.57 |
| 0.10 | 1.05 | 3.00 | 0.63 | 0.53 |
| 0.10 | 1.05 | 4.00 | 0.67 | 0.50 |
| 0.10 | 1.10 | 1.00 | 0.67 | 0.50 |
| 0.10 | 1.10 | 2.00 | 0.69 | 0.49 |
| 0.10 | 1.10 | 3.00 | 0.71 | 0.47 |
| 0.10 | 1.10 | 4.00 | 0.72 | 0.45 |
| 0.10 | 1.15 | 1.00 | 0.72 | 0.45 |
| 0.10 | 1.15 | 2.00 | 0.73 | 0.44 |
| 0.10 | 1.15 | 3.00 | 0.74 | 0.43 |
| 0.10 | 1.15 | 4.00 | 0.75 | 0.42 |
| 0.10 | 1.20 | 1.00 | 0.75 | 0.41 |
| 0.10 | 1.20 | 2.00 | 0.76 | 0.41 |
| 0.10 | 1.20 | 3.00 | 0.77 | 0.40 |
| 0.10 | 1.20 | 4.00 | 0.77 | 0.38 |
| 0.10 | 1.25 | 1.00 | 0.78 | 0.38 |
| 0.10 | 1.25 | 2.00 | 0.78 | 0.38 |
| 0.10 | 1.25 | 3.00 | 0.79 | 0.37 |
| 0.10 | 1.25 | 4.00 | 0.79 | 0.36 |
| 0.10 | 1.30 | 1.00 | 0.79 | 0.36 |
| 0.10 | 1.30 | 2.00 | 0.80 | 0.35 |
| 0.10 | 1.30 | 3.00 | 0.80 | 0.35 |
| 0.10 | 1.30 | 4.00 | 0.80 | 0.34 |
| 0.11 | 1.05 | 1.00 | 0.54 | 0.63 |
| 0.11 | 1.05 | 2.00 | 0.59 | 0.57 |
| 0.11 | 1.05 | 3.00 | 0.63 | 0.53 |
| 0.11 | 1.05 | 4.00 | 0.67 | 0.50 |
| 0.11 | 1.10 | 1.00 | 0.67 | 0.50 |
| 0.11 | 1.10 | 2.00 | 0.69 | 0.49 |
| 0.11 | 1.10 | 3.00 | 0.71 | 0.47 |
| 0.11 | 1.10 | 4.00 | 0.72 | 0.45 |
| 0.11 | 1.15 | 1.00 | 0.72 | 0.45 |
| 0.11 | 1.15 | 2.00 | 0.73 | 0.44 |
| 0.11 | 1.15 | 3.00 | 0.74 | 0.43 |
| 0.11 | 1.15 | 4.00 | 0.75 | 0.42 |
| 0.11 | 1.20 | 1.00 | 0.75 | 0.41 |
| 0.11 | 1.20 | 2.00 | 0.76 | 0.41 |
| 0.11 | 1.20 | 3.00 | 0.77 | 0.40 |
| 0.11 | 1.20 | 4.00 | 0.77 | 0.38 |
| 0.11 | 1.25 | 1.00 | 0.78 | 0.38 |
| 0.11 | 1.25 | 2.00 | 0.78 | 0.38 |
| 0.11 | 1.25 | 3.00 | 0.79 | 0.37 |
| 0.11 | 1.25 | 4.00 | 0.79 | 0.36 |
| 0.11 | 1.30 | 1.00 | 0.79 | 0.36 |
| 0.11 | 1.30 | 2.00 | 0.80 | 0.35 |
| 0.11 | 1.30 | 3.00 | 0.80 | 0.35 |
| 0.11 | 1.30 | 4.00 | 0.80 | 0.34 |
| 0.12 | 1.05 | 1.00 | 0.53 | 0.63 |
| 0.12 | 1.05 | 2.00 | 0.59 | 0.57 |
| 0.12 | 1.05 | 3.00 | 0.63 | 0.53 |
| 0.12 | 1.05 | 4.00 | 0.66 | 0.50 |
| 0.12 | 1.10 | 1.00 | 0.66 | 0.50 |
| 0.12 | 1.10 | 2.00 | 0.68 | 0.49 |
| 0.12 | 1.10 | 3.00 | 0.71 | 0.47 |
| 0.12 | 1.10 | 4.00 | 0.72 | 0.45 |
| 0.12 | 1.15 | 1.00 | 0.72 | 0.45 |
| 0.12 | 1.15 | 2.00 | 0.73 | 0.44 |
| 0.12 | 1.15 | 3.00 | 0.74 | 0.43 |
| 0.12 | 1.15 | 4.00 | 0.75 | 0.42 |
| 0.12 | 1.20 | 1.00 | 0.75 | 0.41 |
| 0.12 | 1.20 | 2.00 | 0.76 | 0.41 |
| 0.12 | 1.20 | 3.00 | 0.77 | 0.40 |
| 0.12 | 1.20 | 4.00 | 0.77 | 0.38 |
| 0.12 | 1.25 | 1.00 | 0.78 | 0.38 |
| 0.12 | 1.25 | 2.00 | 0.78 | 0.38 |
| 0.12 | 1.25 | 3.00 | 0.79 | 0.37 |
| 0.12 | 1.25 | 4.00 | 0.79 | 0.36 |
| 0.12 | 1.30 | 1.00 | 0.79 | 0.36 |
| 0.12 | 1.30 | 2.00 | 0.80 | 0.35 |
| 0.12 | 1.30 | 3.00 | 0.80 | 0.34 |
| 0.12 | 1.30 | 4.00 | 0.80 | 0.34 |
| 0.13 | 1.05 | 1.00 | 0.53 | 0.63 |
| 0.13 | 1.05 | 2.00 | 0.59 | 0.57 |
| 0.13 | 1.05 | 3.00 | 0.63 | 0.53 |
| 0.13 | 1.05 | 4.00 | 0.66 | 0.50 |
| 0.13 | 1.10 | 1.00 | 0.66 | 0.50 |
| 0.13 | 1.10 | 2.00 | 0.68 | 0.49 |
| 0.13 | 1.10 | 3.00 | 0.70 | 0.47 |
| 0.13 | 1.10 | 4.00 | 0.72 | 0.45 |
| 0.13 | 1.15 | 1.00 | 0.72 | 0.45 |
| 0.13 | 1.15 | 2.00 | 0.73 | 0.44 |
| 0.13 | 1.15 | 3.00 | 0.74 | 0.43 |
| 0.13 | 1.15 | 4.00 | 0.75 | 0.42 |
| 0.13 | 1.20 | 1.00 | 0.75 | 0.41 |
| 0.13 | 1.20 | 2.00 | 0.76 | 0.41 |
| 0.13 | 1.20 | 3.00 | 0.77 | 0.40 |
| 0.13 | 1.20 | 4.00 | 0.77 | 0.38 |
| 0.13 | 1.25 | 1.00 | 0.78 | 0.38 |
| 0.13 | 1.25 | 2.00 | 0.78 | 0.38 |
| 0.13 | 1.25 | 3.00 | 0.79 | 0.37 |
| 0.13 | 1.25 | 4.00 | 0.79 | 0.36 |
| 0.13 | 1.30 | 1.00 | 0.79 | 0.36 |
| 0.13 | 1.30 | 2.00 | 0.80 | 0.35 |
| 0.13 | 1.30 | 3.00 | 0.80 | 0.34 |
| 0.13 | 1.30 | 4.00 | 0.80 | 0.34 |
| 0.14 | 1.05 | 1.00 | 0.53 | 0.63 |
| 0.14 | 1.05 | 2.00 | 0.59 | 0.57 |
| 0.14 | 1.05 | 3.00 | 0.63 | 0.53 |
| 0.14 | 1.05 | 4.00 | 0.66 | 0.50 |
| 0.14 | 1.10 | 1.00 | 0.66 | 0.50 |
| 0.14 | 1.10 | 2.00 | 0.68 | 0.49 |
| 0.14 | 1.10 | 3.00 | 0.70 | 0.47 |
| 0.14 | 1.10 | 4.00 | 0.72 | 0.45 |
| 0.14 | 1.15 | 1.00 | 0.72 | 0.45 |
| 0.14 | 1.15 | 2.00 | 0.73 | 0.44 |
| 0.14 | 1.15 | 3.00 | 0.74 | 0.43 |
| 0.14 | 1.15 | 4.00 | 0.75 | 0.42 |
| 0.14 | 1.20 | 1.00 | 0.75 | 0.41 |
| 0.14 | 1.20 | 2.00 | 0.76 | 0.41 |
| 0.14 | 1.20 | 3.00 | 0.77 | 0.39 |
| 0.14 | 1.20 | 4.00 | 0.77 | 0.38 |
| 0.14 | 1.25 | 1.00 | 0.77 | 0.38 |
| 0.14 | 1.25 | 2.00 | 0.78 | 0.38 |
| 0.14 | 1.25 | 3.00 | 0.79 | 0.37 |
| 0.14 | 1.25 | 4.00 | 0.79 | 0.36 |
| 0.14 | 1.30 | 1.00 | 0.79 | 0.36 |
| 0.14 | 1.30 | 2.00 | 0.80 | 0.35 |
| 0.14 | 1.30 | 3.00 | 0.80 | 0.34 |
| 0.14 | 1.30 | 4.00 | 0.80 | 0.34 |
| 0.15 | 1.05 | 1.00 | 0.53 | 0.63 |
| 0.15 | 1.05 | 2.00 | 0.58 | 0.57 |
| 0.15 | 1.05 | 3.00 | 0.62 | 0.52 |
